scenario,method,hour,mean_cumulative_false_alert_probability,n_defined
S2,Binwise Bonferroni,69,0.05890799999999999,500
S2,Binwise Bonferroni,70,0.059390400000000024,500
S2,Binwise Bonferroni,71,0.059845999999999996,500
S2,Binwise Bonferroni,72,0.061594399999999966,500
S2,Binwise Bonferroni,73,0.06245319999999999,500
S2,Binwise Bonferroni,74,0.06332479999999995,500
S2,Binwise Bonferroni,75,0.06411479999999999,500
S2,Binwise Bonferroni,76,0.0648932,500
S2,Binwise Bonferroni,77,0.06563400000000003,500
S2,Binwise Bonferroni,78,0.06632839999999991,500
S2,Binwise Bonferroni,79,0.06699000000000001,500
S2,Binwise Bonferroni,80,0.06756160000000007,500
S2,Binwise Bonferroni,81,0.06808839999999997,500
S2,Binwise Bonferroni,82,0.06852959999999997,500
S2,Binwise Bonferroni,83,0.06890360000000002,500
S2,Binwise Bonferroni,84,0.06922199999999995,500
S2,Binwise Bonferroni,85,0.069484,500
S2,Binwise Bonferroni,86,0.06966879999999998,500
S2,Binwise Bonferroni,87,0.069822,500
S2,Binwise Bonferroni,88,0.0699404,500
S2,Binwise Bonferroni,89,0.07003440000000004,500
S2,Binwise Bonferroni,90,0.07010880000000003,500
S2,Binwise Bonferroni,91,0.0701572,500
S2,Binwise Bonferroni,92,0.07018839999999998,500
S2,Binwise Bonferroni,93,0.07020759999999998,500
S2,Binwise Bonferroni,94,0.07022119999999997,500
S2,Binwise Bonferroni,95,0.07023039999999998,500
S2,Binwise Bonferroni,96,0.07023839999999999,500
S2,Binwise Bonferroni,97,0.0702404,500
S2,Binwise Bonferroni,98,0.07024239999999998,500
S2,Binwise Bonferroni,99,0.0702436,500
S2,Binwise Bonferroni,100,0.0702444,500
S2,Binwise Bonferroni,101,0.0702448,500
S2,Binwise Bonferroni,102,0.0702448,500
S2,Binwise Bonferroni,103,0.0702448,500
S2,Binwise Bonferroni,104,0.0702448,500
S2,Binwise Bonferroni,105,0.07024520000000001,500
S2,Binwise Bonferroni,106,0.07024520000000001,500
S2,Binwise Bonferroni,107,0.07024520000000001,500
S2,Binwise Bonferroni,108,0.07024520000000001,500
S2,Binwise Bonferroni,109,0.07024520000000001,500
S2,Binwise Bonferroni,110,0.07024520000000001,500
S2,Binwise Bonferroni,111,0.07024520000000001,500
S2,Binwise Bonferroni,112,0.07024520000000001,500
S2,Binwise Bonferroni,113,0.07024520000000001,500
S2,Binwise Bonferroni,114,0.07024520000000001,500
S2,Binwise Bonferroni,115,0.07024520000000001,500
S2,Binwise Bonferroni,116,0.07024520000000001,500
S2,Binwise Bonferroni,117,0.07024520000000001,500
S2,Binwise Bonferroni,118,0.07024520000000001,500
S2,Binwise Bonferroni,119,0.07024520000000001,500
S2,PaFAR-F,0,0.0,500
S2,PaFAR-F,1,0.0,500
S2,PaFAR-F,2,0.0,500
S2,PaFAR-F,3,0.0,500
S2,PaFAR-F,4,0.0,500
S2,PaFAR-F,5,0.010108399999999998,500
S2,PaFAR-F,6,0.01297359999999999,500
S2,PaFAR-F,7,0.015699599999999998,500
S2,PaFAR-F,8,0.018337999999999993,500
S2,PaFAR-F,9,0.02089319999999999,500
S2,PaFAR-F,10,0.02332880000000001,500
S2,PaFAR-F,11,0.025742800000000017,500
S2,PaFAR-F,12,0.028053199999999986,500
S2,PaFAR-F,13,0.030384400000000002,500
S2,PaFAR-F,14,0.03268480000000001,500
S2,PaFAR-F,15,0.034874400000000035,500
S2,PaFAR-F,16,0.03704160000000003,500
S2,PaFAR-F,17,0.03919719999999999,500
S2,PaFAR-F,18,0.04133600000000003,500
S2,PaFAR-F,19,0.043401200000000056,500
