panel,method,hour,estimate,lower_95,upper_95,denominator
overall,PaFAR-HC,68,0.0901069518716577,0.0836864965036511,0.0967947883531451,7480
overall,PaFAR-HC,69,0.0902406417112299,0.0838201895356178,0.0969251319766044,7480
overall,PaFAR-HC,70,0.0902406417112299,0.0838201895356178,0.0969251319766044,7480
overall,PaFAR-HC,71,0.0902406417112299,0.0838201895356178,0.0969251319766044,7480
overall,PaFAR-HC,72,0.0902406417112299,0.0838201895356178,0.0969251319766044,7480
overall,PaFAR-HC,73,0.0902406417112299,0.0838201895356178,0.0969251319766044,7480
overall,PaFAR-HC,74,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,75,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,76,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,77,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,78,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,79,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,80,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,81,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,82,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,83,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,84,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,85,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,86,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,87,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,88,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,89,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,90,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,91,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,92,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,93,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,94,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,95,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,96,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,97,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,98,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,99,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,100,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,101,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,102,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,103,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,104,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,105,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,106,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,107,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,108,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,109,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,110,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,111,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,112,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,113,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,114,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,115,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,116,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,117,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
