scenario,contrast,metric,mean_paired_difference,paired_sd,paired_mcse,mc_interval_lower,mc_interval_upper,n_pairs
E2,PaFAR-T minus PaFAR-F,pfa,-0.002861007367812389,0.017209181796076414,0.0017209181796076414,-0.006234006999843366,0.0005119922642185877,100
E2,PaFAR-T minus PaFAR-F,long_stay_pfa,0.06506108217973912,0.05232486986350357,0.005232486986350357,0.05480540768649242,0.07531675667298582,100
E2,PaFAR-T minus PaFAR-F,sens3,-0.006888978696503159,0.016823269652521518,0.0016823269652521517,-0.010186339548397377,-0.0035916178446089423,100
E2,PaFAR-T minus PaFAR-F,sens0,-0.004106687331747309,0.027057404517963905,0.0027057404517963905,-0.009409938617268234,0.0011965639537736168,100
E2,PaFAR-T minus PaFAR-F,premature,-0.03452525017704472,0.0316278517228662,0.0031627851722866203,-0.04072430911472649,-0.028326191239362943,100
E2,PaFAR-T minus PaFAR-F,median_lead,-0.065,0.6342696428160343,0.06342696428160342,-0.1893168499919427,0.0593168499919427,100
E2,PaFAR-T minus PaFAR-F,ppv3_standardized,-0.004647954463081483,0.014945920886566887,0.0014945920886566886,-0.007577354956848593,-0.0017185539693143734,100
E2,PaFAR-T minus PaFAR-F,alert_burden_100d,-0.062117498750300884,1.1299136483001297,0.11299136483001297,-0.2835805738171263,0.15934557631652452,100
S1,PaFAR-HC minus PaFAR-F,pfa,-0.021729199999999997,0.006670224219790859,0.00029830149561235715,-0.022313870931400217,-0.021144529068599777,500
S1,PaFAR-HC minus PaFAR-F,long_stay_pfa,-0.0234608,0.008270680241874101,0.00036987606481989787,-0.024185757087047,-0.022735842912953,500
S1,PaFAR-HC minus PaFAR-F,sens3,-0.027135,0.009328199483888756,0.00041716976307307424,-0.027952652735623224,-0.026317347264376775,500
S1,PaFAR-HC minus PaFAR-F,sens0,-0.035521000000000004,0.01217878090815405,0.0005446516398741816,-0.0365885172141534,-0.03445348278584661,500
S1,PaFAR-HC minus PaFAR-F,premature,-0.011685000000000003,0.004294666846992128,0.00019206334021178173,-0.012061444146815094,-0.011308555853184911,500
S1,PaFAR-HC minus PaFAR-F,median_lead,-0.047,0.21066504104629719,0.009421227045246078,-0.06546560500868231,-0.028534394991317685,500
S1,PaFAR-HC minus PaFAR-F,ppv3_standardized,0.008718887647366749,0.0049550832386150425,0.00022159805911426092,0.008284555451502798,0.0091532198432307,500
S1,PaFAR-HC minus PaFAR-F,alert_burden_100d,-2.2567829739768426,0.6937649753000297,0.031026112903586575,-2.317594155267872,-2.195971792685813,500
S2,PaFAR-HC minus PaFAR-F,pfa,-0.0218348,0.007300280621613707,0.0003264784744950534,-0.022474697810010307,-0.021194902189989696,500
S2,PaFAR-HC minus PaFAR-F,long_stay_pfa,-0.029147199999999998,0.01045411062778829,0.00046752204016075233,-0.030063543198715074,-0.028230856801284922,500
S2,PaFAR-HC minus PaFAR-F,sens3,-0.025124,0.008965007904818988,0.0004009273418799644,-0.02590981759008473,-0.024338182409915272,500
S2,PaFAR-HC minus PaFAR-F,sens0,-0.035366,0.012075665090368708,0.0005400401603117115,-0.03642447871421096,-0.034307521285789046,500
S2,PaFAR-HC minus PaFAR-F,premature,-0.012184,0.004441012179487545,0.00019860810244477293,-0.012573271880791756,-0.011794728119208245,500
S2,PaFAR-HC minus PaFAR-F,median_lead,-0.008,0.08917344788453134,0.003987957825156938,-0.015816397337307598,-0.0001836026626924024,500
S2,PaFAR-HC minus PaFAR-F,ppv3_standardized,0.0076878079471517854,0.004683603409090907,0.00020945711204754046,0.0072772720075386065,0.008098343886764964,500
S2,PaFAR-HC minus PaFAR-F,alert_burden_100d,-1.8454704306343632,0.5999571992549064,0.02683090162248714,-1.898058997814438,-1.7928818634542885,500
S3,PaFAR-HC minus PaFAR-F,pfa,-0.0223848,0.0069901798394874474,0.00031261034592085,-0.022997516278004865,-0.021772083721995135,500
S3,PaFAR-HC minus PaFAR-F,long_stay_pfa,-0.0364848,0.011842080844067687,0.0005295939552476687,-0.03752280415228543,-0.03544679584771457,500
S3,PaFAR-HC minus PaFAR-F,sens3,-0.025942999999999997,0.008401990113999867,0.0003757484208236982,-0.026679466904814444,-0.02520653309518555,500
S3,PaFAR-HC minus PaFAR-F,sens0,-0.03844499999999999,0.011932318947754535,0.000533629525927758,-0.0394909138708184,-0.03739908612918159,500
S3,PaFAR-HC minus PaFAR-F,premature,-0.009592000000000002,0.0036459734289334828,0.0001630528886250653,-0.00991158366170513,-0.009272416338294873,500
S3,PaFAR-HC minus PaFAR-F,median_lead,0.0,0.0,0.0,0.0,0.0,500
S3,PaFAR-HC minus PaFAR-F,ppv3_standardized,0.006046245400902333,0.004631210912691499,0.0002071140483783407,0.005640301866080785,0.0064521889357238805,500
S3,PaFAR-HC minus PaFAR-F,alert_burden_100d,-1.918747273771802,0.5867089467098761,0.026238421757011687,-1.970174580415545,-1.8673199671280591,500
S4,Local PaFAR-F m0=500 minus direct transfer,pfa,-0.1802096,0.029587251286955246,0.0013231821029000012,-0.182803036921684,-0.177616163078316,500
S4,Local PaFAR-F m0=500 minus direct transfer,long_stay_pfa,-0.22813760000000002,0.0367199129936404,0.0016421644316331546,-0.23135624228600102,-0.22491895771399903,500
